,All people aged 16 to 74,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed people aged 16 to 74: Aged 16 to 24,Unemployed people aged 16 to 74: Aged 50 to 74,Unemployed people aged 16 to 74: Never worked,Unemployed people aged 16 to 74: Long-term unemployed
S00103465,55,-,28,6,3,3,3,11,-,-,1,-,-,-,1
S00103466,48,2,16,3,7,5,-,12,1,1,1,2,5,-,4
S00103467,57,2,24,4,5,8,1,13,-,-,-,3,-,2,-
S00103468,109,6,33,11,4,11,3,37,1,3,-,1,-,-,1
S00103469,69,6,23,13,3,4,2,11,2,5,-,-,-,-,-
S00103470,66,6,24,2,5,8,4,11,5,-,1,4,-,1,-
S00103471,106,4,35,5,2,16,2,42,-,-,-,-,-,-,1
S00103472,78,8,44,2,6,4,-,5,1,5,3,1,1,-,2
S00103473,61,4,27,4,6,4,8,5,1,2,-,-,-,1,3
S00103474,429,12,60,15,7,117,7,205,1,3,2,2,-,-,1
S00103475,68,7,19,5,2,15,1,18,-,1,-,1,-,-,-
S00103476,65,10,24,1,3,7,3,11,3,1,2,-,1,-,1
S00103477,50,7,17,2,8,3,3,3,1,4,2,1,3,-,8
S00103478,100,9,40,5,11,10,6,17,-,1,1,3,4,-,3
S00103479,80,12,33,3,8,13,4,3,-,4,-,-,-,-,3
S00103480,94,11,47,4,4,9,5,9,2,2,1,2,-,1,-
S00103481,95,7,51,4,3,7,3,11,4,3,2,-,1,-,2
S00103482,107,9,50,11,4,11,3,15,3,-,1,2,-,-,1
S00103483,56,5,32,6,5,-,1,6,1,-,-,1,2,1,2
S00103484,86,10,48,11,-,4,4,6,-,1,2,-,-,-,-
S00103485,110,7,63,8,2,5,6,12,1,4,2,1,-,-,-
S00103486,154,13,63,20,3,13,10,28,2,2,-,2,-,-,-
S00103487,120,4,61,10,7,12,6,16,2,1,1,4,1,1,1
S00103488,64,4,29,4,2,9,-,14,2,-,-,1,-,-,1
S00103489,143,19,39,12,8,16,5,24,4,12,4,4,1,2,2
S00103490,98,5,29,3,8,13,8,14,2,15,1,-,1,-,4
S00103491,73,8,25,9,6,8,5,7,2,2,1,1,1,-,-
S00103492,51,1,29,3,3,4,-,9,-,2,-,-,1,1,-
S00103493,62,5,32,4,2,5,1,5,1,6,1,-,1,-,1
S00103494,167,12,54,9,3,28,-,58,1,-,2,1,-,1,1
S00103495,64,5,21,5,2,10,2,15,1,2,1,1,1,-,1
S00103496,72,4,23,3,-,11,5,19,1,4,2,-,-,-,-
S00103497,90,7,46,6,3,4,3,15,2,3,1,-,1,-,1
S00103498,105,6,43,2,12,10,6,14,2,7,3,3,-,1,5
S00103499,132,16,44,12,2,17,7,31,-,2,1,1,-,-,-
S00103500,123,5,47,8,3,18,7,34,1,-,-,-,-,-,1
S00103501,103,8,37,8,2,17,6,21,-,4,-,-,1,-,1
S00103502,104,11,49,8,-,13,3,17,-,3,-,-,-,-,-
S00103503,98,6,34,11,2,18,4,15,-,8,-,1,-,-,-
S00103504,145,13,43,4,2,13,20,44,3,2,1,1,-,-,1
S00103505,125,6,34,6,3,24,6,44,1,1,-,1,-,1,-
S00103506,105,5,36,12,2,14,2,26,2,4,2,-,1,-,-
S00103507,88,2,23,8,1,10,6,33,2,-,3,-,-,-,-
S00103508,69,6,19,4,1,1,5,25,3,5,-,-,-,-,1
S00103509,84,1,19,6,2,2,3,48,2,-,1,-,-,-,1
S00103510,129,1,30,12,2,9,6,64,4,-,1,-,1,-,-
S00103511,71,11,22,5,3,1,16,5,3,5,-,1,1,1,-
S00103512,154,9,38,11,13,22,10,29,3,19,-,2,2,-,6
S00103513,119,8,33,5,5,44,4,18,1,-,1,2,-,-,-
S00103514,50,-,19,5,5,8,1,10,-,2,-,3,-,-,-
S00103515,126,14,59,3,6,20,4,19,-,-,1,2,-,2,2
S00103516,87,9,36,3,6,11,3,13,-,1,5,-,-,-,2
S00103517,67,6,22,-,5,14,1,16,-,3,-,-,1,-,1
S00103518,81,4,21,2,4,16,1,26,2,3,2,1,2,-,2
S00103519,162,5,39,3,4,44,1,63,1,1,1,1,2,-,3
S00103520,66,5,22,7,3,15,4,7,-,1,2,-,1,-,1
S00103521,64,4,41,3,-,-,15,1,-,-,-,-,-,-,-
S00103522,62,5,36,6,4,1,6,1,-,2,1,1,1,-,1
S00103523,100,12,40,11,3,3,18,7,2,1,3,1,-,-,-
S00103524,317,6,42,3,3,2,7,252,2,-,-,-,-,-,3
S00103525,89,7,44,9,1,5,7,10,4,-,2,-,-,-,-
S00103526,108,9,64,13,4,3,6,4,3,1,1,1,-,-,1
S00103527,108,14,45,18,1,2,13,6,7,1,1,-,-,-,-
S00103528,55,3,35,8,-,1,4,1,1,1,1,-,-,-,-
S00103529,53,2,35,3,1,2,6,1,2,1,-,1,-,-,-
S00103530,87,3,48,14,2,4,8,1,3,3,1,-,-,-,-
S00103531,59,2,37,1,2,3,6,6,2,-,-,1,-,-,-
S00103532,56,-,43,4,1,2,5,-,-,1,-,-,-,-,-
S00103533,64,9,38,3,-,2,7,4,-,-,1,-,-,-,-
S00103534,98,5,52,17,1,-,13,6,2,-,2,1,-,-,1
S00103535,78,8,46,9,-,3,6,4,1,-,1,-,-,-,-
S00103536,75,8,38,15,1,1,9,-,2,-,1,-,-,-,-
S00103537,78,8,33,14,-,4,9,4,4,1,1,-,-,-,-
S00103538,81,10,40,14,3,1,3,4,4,1,1,-,1,-,-
S00103539,74,4,38,13,3,-,9,-,5,1,1,-,1,-,2
S00103540,59,7,27,8,1,3,7,2,4,-,-,1,-,-,-
S00103541,81,5,24,19,-,2,16,4,7,2,2,-,-,-,-
S00103542,95,10,32,27,2,2,9,4,6,-,3,-,-,-,1
S00103543,65,4,28,9,3,2,11,4,4,-,-,2,1,-,1
S00103544,98,3,51,20,1,2,12,5,4,-,-,-,-,-,-
S00103545,65,4,17,14,-,5,8,12,3,2,-,-,-,-,-
S00103546,76,13,32,6,1,7,8,4,4,1,-,-,-,-,-
S00103547,76,8,40,11,4,-,9,3,-,1,-,1,-,1,2
S00103548,99,3,70,8,3,4,5,3,3,-,-,-,-,-,1
S00103549,82,3,41,17,5,4,4,-,2,4,2,-,2,-,1
S00103550,100,15,50,17,2,2,7,5,-,1,1,2,-,-,-
S00103551,100,5,69,13,1,3,2,5,1,-,1,1,-,-,-
S00103552,93,7,56,7,8,4,3,3,-,4,1,1,1,-,2
S00103553,57,6,36,6,3,2,1,2,1,-,-,-,-,-,-
S00103554,55,3,35,2,3,5,2,3,-,-,2,-,2,-,-
S00103555,83,7,38,17,1,2,13,5,-,-,-,-,-,1,-
S00103556,82,7,56,6,1,2,2,3,-,5,-,-,-,-,-
S00103557,109,6,70,16,3,-,3,3,6,1,1,-,-,-,2
S00103558,104,8,60,13,5,6,5,4,2,-,1,2,1,1,2
S00103559,73,5,50,6,-,4,4,3,1,-,-,-,-,-,-
S00103560,80,6,51,10,2,2,3,4,-,2,-,-,-,-,-
S00103561,58,4,41,8,2,-,1,1,1,-,-,-,-,-,1
S00103562,61,3,35,8,3,2,7,2,-,-,1,-,-,-,2
S00103563,70,6,45,10,1,2,4,-,1,1,-,1,-,-,-
S00103564,61,4,31,9,1,3,7,1,3,-,2,-,-,-,1
S00103565,72,7,30,4,2,1,13,6,2,3,4,-,1,1,-
S00103566,58,5,29,7,2,4,2,5,1,-,3,1,-,-,-
S00103567,72,6,49,5,3,1,3,2,3,-,-,-,1,-,-
S00103568,64,2,32,10,3,6,5,2,2,1,1,-,1,-,1
S00103569,59,2,39,3,1,-,8,3,-,1,2,-,-,-,-
S00103570,44,4,11,9,2,-,16,2,-,-,-,-,1,1,1
S00103571,64,5,27,12,-,4,10,5,-,1,-,-,-,-,-
S00103572,121,24,50,9,4,4,18,5,3,2,2,2,-,1,2
S00103573,37,4,9,1,2,1,18,-,-,1,1,-,2,-,2
S00103574,112,18,30,19,5,7,19,6,6,2,-,1,1,-,2
S00103575,84,13,34,11,2,4,9,5,4,1,1,1,-,-,1
S00103576,75,11,34,11,1,1,11,1,3,1,1,-,-,-,-
S00103577,76,6,25,12,2,7,15,3,4,-,2,-,-,2,-
S00103578,64,9,17,13,6,2,7,6,3,1,-,4,-,1,-
S00103579,92,11,42,7,3,3,14,8,4,-,-,2,1,1,2
S00103580,62,13,24,9,1,-,12,1,1,1,-,1,-,-,-
S00103581,77,12,35,8,-,1,12,4,4,1,-,-,-,-,-
S00103582,121,16,41,6,16,4,12,5,13,5,3,7,2,2,5
S00103583,96,13,27,10,7,7,14,5,5,8,-,1,-,-,4
S00103584,123,16,38,9,9,3,20,7,8,10,3,2,2,-,3
S00103585,105,18,37,10,5,4,12,6,6,6,1,2,2,-,3
S00103586,119,19,52,10,3,5,16,6,3,2,3,1,1,-,-
S00103587,124,12,56,3,3,6,20,5,5,12,2,-,-,1,-
S00103588,106,12,57,7,2,3,12,3,4,4,2,1,-,-,1
S00103589,89,13,28,6,8,3,13,3,6,7,2,2,-,1,2
S00103590,92,16,41,3,1,4,11,5,3,6,2,-,-,-,1
S00103591,68,8,32,6,4,1,7,2,4,3,1,2,-,1,-
S00103592,66,11,23,3,5,-,10,4,6,3,1,1,1,1,4
S00103593,70,11,32,6,2,-,5,5,8,-,1,-,1,-,2
S00103594,83,18,33,-,11,2,6,-,9,1,3,3,3,3,7
S00103595,83,15,41,8,4,2,2,2,4,2,3,-,2,1,2
S00103596,84,12,28,3,3,1,18,4,2,13,-,1,-,1,2
S00103597,86,13,30,3,3,3,18,3,5,8,-,-,2,-,1
S00103598,75,14,26,7,2,-,13,4,4,4,1,-,1,-,2
S00103599,60,12,23,1,1,2,13,4,1,1,2,-,1,-,1
S00103600,87,20,20,-,9,2,12,4,6,11,3,3,2,1,1
S00103601,65,11,20,3,3,1,18,2,4,3,-,1,-,-,1
S00103602,70,12,32,1,1,1,12,2,5,3,1,1,-,1,-
S00103603,68,14,23,2,6,-,14,-,2,6,1,3,-,3,-
S00103604,43,4,12,3,2,1,14,1,5,1,-,1,1,-,1
S00103605,77,12,34,5,2,1,19,1,1,1,1,1,-,-,1
S00103606,68,9,39,3,2,1,8,2,2,1,1,1,1,-,1
S00103607,74,13,34,6,3,1,9,2,3,3,-,1,-,1,-
S00103608,85,12,34,7,1,4,19,2,4,2,-,1,-,-,-
S00103609,106,16,33,13,2,1,26,5,6,1,3,1,-,-,1
S00103610,43,7,23,3,1,-,4,-,3,-,2,-,-,-,1
S00103611,80,9,49,4,-,2,4,5,2,4,1,-,-,-,-
S00103612,86,14,31,9,2,4,18,3,3,1,1,-,-,-,2
S00103613,67,15,24,6,4,2,10,4,2,-,-,1,1,-,2
S00103614,56,7,18,6,-,4,14,5,-,1,1,-,-,-,-
S00103615,123,22,38,4,10,4,10,5,9,15,6,2,2,2,5
S00103616,60,6,24,2,6,-,8,5,3,5,1,3,-,2,4
S00103617,83,10,42,6,4,-,11,4,1,5,-,3,-,1,-
S00103618,90,16,22,7,6,4,15,2,6,10,2,2,1,2,2
