,All people,White,White: Scottish,White: Other British,White: Irish,White: Gypsy/Traveller,White: Polish,White: Other White,Mixed or multiple ethnic groups,"Asian, Asian Scottish or Asian British","Asian, Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British","Asian, Asian Scottish or Asian British: Indian, Indian Scottish or Indian British","Asian, Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British","Asian, Asian Scottish or Asian British: Chinese, Chinese Scottish or Chinese British","Asian, Asian Scottish or Asian British: Other Asian",African,"African: African, African Scottish or African British",African: Other African,Caribbean or Black,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British","Caribbean or Black: Black, Black Scottish or Black British",Caribbean or Black: Other Caribbean or Black,Other ethnic groups,"Other ethnic groups: Arab, Arab Scottish or Arab British",Other ethnic groups: Other ethnic group
S00105431,114,111,93,13,3,-,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,-,1
S00105432,116,99,85,7,3,-,-,4,1,16,5,-,-,11,-,-,-,-,-,-,-,-,-,-,-
S00105433,156,156,119,30,6,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105434,90,88,70,17,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1
S00105435,178,178,129,37,7,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105436,225,223,173,44,2,-,-,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105437,89,86,65,16,1,-,-,4,-,2,-,2,-,-,-,-,-,-,1,-,1,-,-,-,-
S00105438,132,127,111,16,-,-,-,-,4,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00105439,91,82,68,12,1,-,-,1,-,9,-,3,-,6,-,-,-,-,-,-,-,-,-,-,-
S00105440,76,76,53,15,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105441,214,211,179,25,3,-,1,3,-,3,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-
S00105442,117,116,81,26,5,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
S00105443,181,180,144,32,3,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
S00105444,165,165,116,43,1,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105445,97,95,77,15,-,-,-,3,-,2,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
S00105446,72,72,55,15,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105447,157,128,76,35,4,-,4,9,1,22,1,-,-,18,3,6,6,-,-,-,-,-,-,-,-
S00105448,99,97,59,21,1,-,2,14,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105449,89,87,60,24,-,-,-,3,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
S00105450,87,84,60,17,1,-,3,3,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105451,147,137,132,4,-,-,1,-,-,10,-,1,7,-,2,-,-,-,-,-,-,-,-,-,-
S00105452,128,128,114,11,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105453,71,71,63,5,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105454,143,134,122,6,-,-,2,4,-,2,-,1,-,-,1,-,-,-,1,1,-,-,6,6,-
S00105455,87,83,77,3,1,-,2,-,1,2,-,2,-,-,-,1,1,-,-,-,-,-,-,-,-
S00105456,81,70,68,-,1,-,-,1,-,9,8,-,-,1,-,-,-,-,1,-,-,1,1,1,-
S00105457,132,121,111,-,1,-,3,6,1,4,-,2,-,1,1,6,6,-,-,-,-,-,-,-,-
S00105458,101,98,90,5,2,-,-,1,1,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105459,85,83,74,5,-,-,4,-,-,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-
S00105460,146,139,130,7,1,-,-,1,1,6,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105461,157,150,137,4,1,-,4,4,-,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105462,115,114,108,4,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105463,86,82,77,5,-,-,-,-,-,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
S00105464,151,146,139,5,2,-,-,-,-,5,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-
S00105465,92,89,84,3,1,-,-,1,2,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
S00105466,107,101,91,7,-,-,3,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105467,96,94,82,6,-,-,1,5,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-
S00105468,117,117,112,2,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105469,100,99,85,10,3,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00105470,164,159,146,10,-,-,-,3,-,5,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-
S00105471,105,105,98,5,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105472,111,108,102,6,-,-,-,-,-,2,-,1,-,1,-,1,1,-,-,-,-,-,-,-,-
S00105473,92,89,69,13,6,-,1,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-
S00105474,94,92,83,7,-,-,1,1,-,2,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-
S00105475,82,78,69,3,4,-,-,2,-,2,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-
S00105476,117,115,109,2,1,-,2,1,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00105477,108,102,93,7,1,-,-,1,2,3,-,-,-,-,3,-,-,-,-,-,-,-,1,1,-
S00105478,113,103,87,11,3,-,1,1,-,1,-,-,-,-,1,-,-,-,1,-,1,-,8,8,-
S00105479,137,137,115,20,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105480,122,115,96,15,-,-,-,4,2,5,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-
S00105481,105,102,87,11,-,-,-,4,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-
S00105482,118,115,90,17,2,-,-,6,1,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
S00105483,108,108,95,11,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105484,133,118,103,7,4,-,2,2,2,9,-,8,-,-,1,1,1,-,-,-,-,-,3,3,-
S00105485,66,63,59,1,2,-,-,1,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105486,70,61,58,3,-,-,-,-,-,9,1,4,-,4,-,-,-,-,-,-,-,-,-,-,-
S00105487,84,75,71,4,-,-,-,-,-,9,8,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00105488,95,93,82,9,1,-,-,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105489,73,73,71,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105490,192,160,138,5,3,-,14,-,-,27,8,15,-,-,4,-,-,-,1,1,-,-,4,3,1
S00105491,108,104,93,7,2,-,-,2,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105492,133,132,123,8,-,-,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00105493,149,147,142,5,-,-,-,-,-,1,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-
S00105494,81,81,73,1,2,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105495,150,146,144,2,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105496,158,156,148,4,3,-,-,1,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105497,104,104,101,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105498,184,174,172,2,-,-,-,-,-,10,7,2,1,-,-,-,-,-,-,-,-,-,-,-,-
S00105499,122,119,117,2,-,-,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105500,132,131,117,3,3,-,5,3,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00105501,89,83,76,7,-,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105502,67,63,60,2,1,-,-,-,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105503,119,119,102,9,3,-,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105504,139,138,124,12,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
S00105505,72,72,63,7,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105506,149,137,120,7,-,-,1,9,3,5,-,4,-,1,-,3,1,2,-,-,-,-,1,-,1
S00105507,118,107,93,3,-,-,1,10,-,8,-,7,-,1,-,3,2,1,-,-,-,-,-,-,-
S00105508,138,123,110,2,-,-,2,9,2,11,-,10,-,1,-,2,2,-,-,-,-,-,-,-,-
S00105509,104,86,77,4,-,-,3,2,2,15,5,8,2,-,-,-,-,-,1,-,1,-,-,-,-
S00105510,166,156,136,8,3,-,5,4,6,3,-,-,-,3,-,1,1,-,-,-,-,-,-,-,-
S00105511,184,180,155,6,-,-,10,9,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105512,145,130,113,5,1,-,-,11,-,9,-,4,-,3,2,4,4,-,2,2,-,-,-,-,-
S00105513,139,126,110,4,1,-,5,6,-,12,1,-,-,11,-,1,1,-,-,-,-,-,-,-,-
S00105514,88,84,76,4,-,-,3,1,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105515,131,125,111,6,3,-,5,-,2,4,1,2,-,-,1,-,-,-,-,-,-,-,-,-,-
S00105516,91,91,86,2,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105517,162,148,124,13,1,-,7,3,2,10,-,3,5,2,-,-,-,-,-,-,-,-,2,2,-
S00105518,125,118,106,6,3,-,-,3,-,6,-,2,-,-,4,-,-,-,-,-,-,-,1,-,1
S00105519,106,101,81,9,6,-,2,3,1,4,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-
S00105520,120,112,83,12,7,-,4,6,2,6,-,1,-,5,-,-,-,-,-,-,-,-,-,-,-
S00105521,58,53,34,9,2,-,1,7,-,4,-,4,-,-,-,1,1,-,-,-,-,-,-,-,-
S00105522,133,125,110,8,-,-,6,1,-,8,-,2,-,5,1,-,-,-,-,-,-,-,-,-,-
S00105523,111,102,90,5,-,-,4,3,-,9,4,2,-,3,-,-,-,-,-,-,-,-,-,-,-
S00105524,63,61,56,5,-,-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
S00105525,93,91,84,5,1,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105526,72,63,58,1,1,-,2,1,-,9,-,5,-,4,-,-,-,-,-,-,-,-,-,-,-
S00105527,100,94,83,6,-,-,-,5,-,6,-,3,-,2,1,-,-,-,-,-,-,-,-,-,-
S00105528,113,113,107,5,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105529,103,100,91,9,-,-,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105530,181,163,143,12,-,-,6,2,3,14,9,5,-,-,-,1,1,-,-,-,-,-,-,-,-
S00105531,96,90,71,9,-,-,1,9,1,2,-,2,-,-,-,-,-,-,3,2,1,-,-,-,-
S00105532,93,86,83,3,-,-,-,-,-,7,-,3,-,2,2,-,-,-,-,-,-,-,-,-,-
S00105533,125,124,115,8,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
S00105534,130,124,114,9,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,6
S00105535,117,112,101,4,2,-,3,2,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105536,99,96,87,4,5,-,-,-,-,3,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
S00105537,104,98,86,7,4,-,-,1,-,6,5,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00105538,114,106,97,4,2,-,-,3,-,7,4,3,-,-,-,1,1,-,-,-,-,-,-,-,-
S00105539,116,108,96,11,-,-,-,1,2,6,1,3,-,-,2,-,-,-,-,-,-,-,-,-,-
S00105540,164,155,152,2,-,-,-,1,3,6,-,-,-,4,2,-,-,-,-,-,-,-,-,-,-
S00105541,131,119,110,6,-,-,3,-,-,12,2,3,5,-,2,-,-,-,-,-,-,-,-,-,-
S00105542,116,115,99,10,1,-,-,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105543,118,118,106,10,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105544,103,103,91,9,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105545,85,84,81,3,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00105546,114,113,101,9,-,-,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105547,94,87,77,7,2,-,1,-,-,6,-,-,5,1,-,-,-,-,1,1,-,-,-,-,-
S00105548,161,147,131,9,-,-,3,4,2,3,-,3,-,-,-,-,-,-,7,2,4,1,2,2,-
S00105549,148,143,128,10,2,-,3,-,1,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105550,95,92,87,3,1,-,-,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-
S00105551,105,105,99,4,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105552,96,94,82,5,4,-,3,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
S00105553,113,101,81,10,-,-,1,9,2,9,3,6,-,-,-,-,-,-,1,1,-,-,-,-,-
S00105554,163,159,138,10,1,-,8,2,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105555,92,90,79,6,-,-,2,3,-,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
S00105556,127,123,120,3,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105557,66,66,62,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105558,183,155,127,16,1,-,4,7,1,27,15,-,11,1,-,-,-,-,-,-,-,-,-,-,-
S00105559,161,149,135,12,-,-,-,2,-,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105560,130,125,118,5,1,-,-,1,1,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105561,126,119,112,7,-,-,-,-,-,6,3,-,-,3,-,-,-,-,-,-,-,-,1,1,-
S00105562,92,91,87,3,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105563,202,189,166,6,3,-,10,4,3,4,2,-,-,2,-,5,5,-,1,-,1,-,-,-,-
S00105564,116,115,106,6,-,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105565,116,113,90,8,2,-,8,5,-,3,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-
S00105566,120,119,103,11,4,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105567,106,102,94,6,2,-,-,-,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105568,85,78,70,6,1,-,-,1,2,1,-,-,-,-,1,-,-,-,-,-,-,-,4,4,-
S00105569,162,162,144,9,-,-,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105570,61,55,50,1,3,-,-,1,-,5,-,-,-,4,1,-,-,-,1,-,1,-,-,-,-
S00105571,156,132,116,8,4,-,2,2,2,22,7,7,-,7,1,-,-,-,-,-,-,-,-,-,-
S00105572,80,76,66,3,3,-,4,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105573,127,117,101,13,1,-,1,1,3,7,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-
S00105574,108,107,94,6,-,-,5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
S00105575,164,164,150,9,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105576,121,116,105,8,2,-,-,1,-,4,-,-,4,-,-,-,-,-,-,-,-,-,1,1,-
S00105577,132,132,115,9,2,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105578,96,85,71,13,1,-,-,-,-,11,5,-,6,-,-,-,-,-,-,-,-,-,-,-,-
S00105579,90,85,71,3,-,-,7,4,-,5,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-
S00105580,109,103,91,10,1,-,-,1,-,6,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105581,131,117,100,10,1,-,-,6,-,13,12,-,-,-,1,-,-,-,-,-,-,-,1,1,-
S00105582,114,114,110,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105583,100,91,84,7,-,-,-,-,-,7,6,-,-,-,1,2,2,-,-,-,-,-,-,-,-
S00105584,117,116,100,8,1,-,-,7,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00105585,110,110,95,7,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105586,113,108,97,8,3,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105587,121,114,108,3,1,-,-,2,-,7,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105588,95,93,66,15,1,-,5,6,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105589,110,106,90,14,-,-,-,2,-,4,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-
S00105590,104,104,90,8,4,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105591,120,118,91,23,1,-,-,3,-,2,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-
S00105592,119,118,97,15,1,-,3,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-
S00105593,130,127,104,11,6,-,-,6,2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-
S00105594,139,134,112,14,-,-,-,8,2,3,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
S00105595,97,97,86,8,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105596,110,109,98,9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
S00105597,129,129,118,9,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105598,120,119,105,11,2,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00105599,101,101,88,11,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105600,84,83,71,11,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105601,132,125,103,21,1,-,-,-,-,7,-,3,-,4,-,-,-,-,-,-,-,-,-,-,-
S00105602,132,120,96,21,-,-,-,3,-,11,8,-,3,-,-,-,-,-,1,1,-,-,-,-,-
S00105603,124,120,109,5,-,-,-,6,-,4,-,1,-,-,3,-,-,-,-,-,-,-,-,-,-
S00105604,138,132,114,13,5,-,-,-,-,5,-,-,2,3,-,-,-,-,-,-,-,-,1,-,1
S00105605,136,131,120,9,2,-,-,-,-,4,-,2,-,2,-,1,1,-,-,-,-,-,-,-,-
S00105606,146,142,116,13,1,-,4,8,2,1,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1
S00105607,102,96,75,17,2,-,2,-,-,5,-,5,-,-,-,-,-,-,-,-,-,-,1,1,-
S00105608,73,68,48,9,-,-,9,2,-,5,-,1,-,4,-,-,-,-,-,-,-,-,-,-,-
S00105609,67,62,56,1,2,-,3,-,-,4,4,-,-,-,-,1,1,-,-,-,-,-,-,-,-
S00105610,81,81,66,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105611,59,54,50,2,1,-,-,1,-,5,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-
S00105612,129,122,100,8,1,-,9,4,-,6,3,2,-,1,-,1,1,-,-,-,-,-,-,-,-
S00105613,112,101,92,2,1,-,5,1,-,11,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105614,51,47,38,3,1,-,4,1,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105615,103,92,78,5,2,-,6,1,-,10,-,9,-,1,-,1,1,-,-,-,-,-,-,-,-
S00105616,90,89,68,5,2,1,11,2,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00105617,149,133,120,5,-,-,4,4,-,15,4,9,-,1,1,-,-,-,-,-,-,-,1,1,-
S00105618,139,130,118,7,1,-,4,-,-,8,-,6,2,-,-,1,1,-,-,-,-,-,-,-,-
S00105619,67,62,60,1,1,-,-,-,-,4,2,1,-,-,1,-,-,-,-,-,-,-,1,-,1
S00105620,89,86,76,8,-,-,2,-,-,3,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
S00105621,96,93,81,3,1,-,7,1,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105622,94,91,77,3,2,-,7,2,-,2,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-
S00105623,83,77,69,1,1,-,4,2,-,4,-,-,-,-,4,1,1,-,-,-,-,-,1,1,-
S00105624,133,124,97,9,2,-,13,3,-,8,-,8,-,-,-,1,-,1,-,-,-,-,-,-,-
S00105625,82,81,64,8,-,-,8,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
S00105626,84,81,77,3,-,-,1,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105627,73,70,55,6,-,-,7,2,-,2,-,-,-,1,1,-,-,-,1,-,1,-,-,-,-
S00105628,129,116,99,7,-,-,7,3,-,8,-,8,-,-,-,-,-,-,-,-,-,-,5,5,-
S00105629,155,137,95,38,1,-,2,1,1,3,-,-,-,1,2,5,5,-,-,-,-,-,9,-,9
S00105630,105,101,79,13,2,-,1,6,-,3,-,-,-,3,-,1,1,-,-,-,-,-,-,-,-
S00105631,60,57,49,8,-,-,-,-,-,3,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00105632,52,51,41,8,1,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-
S00105633,150,146,125,15,1,-,3,2,-,-,-,-,-,-,-,2,2,-,2,2,-,-,-,-,-
S00105634,136,136,126,9,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105635,107,103,92,4,-,-,2,5,-,4,-,1,-,-,3,-,-,-,-,-,-,-,-,-,-
S00105636,101,100,94,5,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105637,110,108,101,7,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
S00105638,96,95,85,5,1,-,4,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00105639,151,126,91,29,-,-,-,6,4,4,-,-,-,-,4,4,4,-,-,-,-,-,13,7,6
S00105640,137,117,56,52,1,-,-,8,6,-,-,-,-,-,-,1,1,-,7,-,7,-,6,-,6
S00105641,135,131,118,8,2,-,-,3,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105642,127,121,110,5,2,-,1,3,-,6,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-
S00105643,144,127,110,11,1,-,1,4,1,10,-,2,-,4,4,1,1,-,-,-,-,-,5,5,-
S00105644,91,87,82,4,-,-,1,-,-,4,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-
S00105645,71,71,64,2,2,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105646,104,88,72,7,3,-,6,-,-,3,2,-,1,-,-,7,7,-,-,-,-,-,6,6,-
S00105647,127,125,105,7,2,-,3,8,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-
S00105648,116,105,93,4,2,-,4,2,-,11,8,-,-,-,3,-,-,-,-,-,-,-,-,-,-
S00105649,168,145,128,3,2,2,4,6,5,9,-,3,-,2,4,2,2,-,4,1,3,-,3,-,3
S00105650,141,137,121,2,-,-,13,1,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105651,110,110,102,3,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105652,108,102,92,4,-,-,2,4,1,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,-
S00105653,90,90,82,3,-,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105654,96,93,85,3,2,-,1,2,-,1,-,-,-,-,1,2,2,-,-,-,-,-,-,-,-
S00105655,65,59,52,5,-,-,2,-,-,-,-,-,-,-,-,6,5,1,-,-,-,-,-,-,-
S00105656,84,79,72,5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,5
S00105657,77,77,72,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105658,133,125,113,6,-,-,5,1,2,6,1,1,-,4,-,-,-,-,-,-,-,-,-,-,-
S00105659,88,86,81,2,1,-,-,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,-,1
S00105660,75,70,65,4,-,-,-,1,1,1,-,-,-,-,1,-,-,-,2,1,1,-,1,-,1
S00105661,107,91,83,7,-,1,-,-,1,13,3,2,-,8,-,-,-,-,-,-,-,-,2,2,-
S00105662,61,57,54,3,-,-,-,-,-,4,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-
S00105663,124,118,96,7,-,-,13,2,-,2,1,1,-,-,-,3,3,-,-,-,-,-,1,-,1
S00105664,81,59,52,4,1,-,-,2,-,18,9,4,-,3,2,4,4,-,-,-,-,-,-,-,-
S00105665,130,112,99,4,2,-,5,2,-,-,-,-,-,-,-,10,10,-,2,-,2,-,6,6,-
S00105666,77,76,68,3,-,-,5,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-
S00105667,64,61,52,5,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-
S00105668,71,69,57,5,2,-,-,5,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,1,-
S00105669,141,121,111,7,1,-,-,2,-,17,1,11,5,-,-,3,3,-,-,-,-,-,-,-,-
S00105670,111,111,91,9,-,-,7,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00105671,78,77,73,3,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-
S00105672,123,120,104,9,1,-,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,3
S00105673,106,100,87,8,2,-,-,3,2,1,-,-,-,-,1,-,-,-,-,-,-,-,3,3,-
S00105674,124,119,107,9,-,-,3,-,3,-,-,-,-,-,-,1,1,-,1,-,1,-,-,-,-
S00105675,117,107,90,9,-,-,7,1,1,7,5,1,-,-,1,1,1,-,-,-,-,-,1,1,-
S00105676,106,103,96,4,3,-,-,-,1,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
