,All people,White,White: Scottish,White: Other British,White: Irish,White: Gypsy/Traveller,White: Polish,White: Other White,Mixed or multiple ethnic groups,"Asian, Asian Scottish or Asian British","Asian, Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British","Asian, Asian Scottish or Asian British: Indian, Indian Scottish or Indian British","Asian, Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British","Asian, Asian Scottish or Asian British: Chinese, Chinese Scottish or Chinese British","Asian, Asian Scottish or Asian British: Other Asian",African,"African: African, African Scottish or African British",African: Other African,Caribbean or Black,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British","Caribbean or Black: Black, Black Scottish or Black British",Caribbean or Black: Other Caribbean or Black,Other ethnic groups,"Other ethnic groups: Arab, Arab Scottish or Arab British",Other ethnic groups: Other ethnic group
S00107120,98,82,39,22,2,1,-,18,3,11,-,7,-,1,3,2,2,-,-,-,-,-,-,-,-
S00107121,54,51,32,12,2,-,-,5,1,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
S00107122,132,102,48,25,5,-,4,20,-,30,-,5,-,17,8,-,-,-,-,-,-,-,-,-,-
S00107123,59,59,26,14,4,2,8,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00107124,83,58,25,6,5,-,19,3,-,25,6,5,-,8,6,-,-,-,-,-,-,-,-,-,-
S00107125,70,67,34,13,4,-,8,8,1,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-
S00107126,70,68,45,12,4,-,2,5,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
S00107127,123,111,56,20,4,1,23,7,1,11,-,7,-,4,-,-,-,-,-,-,-,-,-,-,-
S00107128,95,68,29,13,6,1,16,3,5,22,-,21,1,-,-,-,-,-,-,-,-,-,-,-,-
S00107129,176,151,93,18,4,-,28,8,-,24,-,14,-,3,7,-,-,-,1,1,-,-,-,-,-
S00107130,111,106,66,17,6,1,7,9,-,4,-,-,-,-,4,-,-,-,-,-,-,-,1,-,1
S00107131,81,49,30,6,4,-,6,3,2,28,6,17,-,3,2,1,1,-,-,-,-,-,1,1,-
S00107132,158,140,76,32,6,2,16,8,2,15,4,5,2,3,1,-,-,-,-,-,-,-,1,-,1
S00107133,75,65,42,9,3,-,7,4,-,10,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-
S00107134,112,104,82,10,-,-,7,5,2,4,2,1,-,-,1,-,-,-,-,-,-,-,2,2,-
S00107135,121,115,69,27,2,-,5,12,3,2,-,-,-,1,1,-,-,-,1,-,1,-,-,-,-
S00107136,78,72,42,19,-,-,4,7,1,5,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-
S00107137,51,48,27,10,7,-,1,3,2,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
S00107138,107,98,54,13,10,-,2,19,2,7,-,3,-,3,1,-,-,-,-,-,-,-,-,-,-
S00107139,132,98,45,14,1,-,17,21,3,29,3,15,-,7,4,1,1,-,-,-,-,-,1,1,-
S00107140,85,78,40,17,5,-,8,8,-,5,-,2,-,1,2,1,1,-,1,1,-,-,-,-,-
S00107141,74,50,30,7,5,-,1,7,1,21,-,16,-,4,1,2,2,-,-,-,-,-,-,-,-
S00107142,72,56,35,11,-,-,4,6,4,8,-,5,-,3,-,4,4,-,-,-,-,-,-,-,-
S00107143,79,71,31,7,1,-,27,5,2,6,-,4,-,2,-,-,-,-,-,-,-,-,-,-,-
S00107144,90,85,52,14,2,-,1,16,3,1,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-
S00107145,74,62,39,2,-,-,15,6,-,11,-,-,7,4,-,-,-,-,-,-,-,-,1,1,-
S00107146,67,51,32,3,3,1,8,4,3,10,-,6,-,4,-,2,2,-,-,-,-,-,1,1,-
S00107147,56,51,29,4,2,-,2,14,1,2,1,-,-,1,-,2,2,-,-,-,-,-,-,-,-
S00107148,158,149,90,19,5,-,24,11,-,6,-,4,-,1,1,2,2,-,-,-,-,-,1,1,-
S00107149,77,69,45,3,3,-,9,9,1,5,-,2,-,1,2,-,-,-,-,-,-,-,2,-,2
S00107150,67,64,51,5,1,-,2,5,-,2,1,1,-,-,-,-,-,-,1,1,-,-,-,-,-
S00107151,54,52,36,10,-,-,4,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-
S00107152,77,61,29,7,-,-,12,13,-,13,6,1,-,-,6,3,3,-,-,-,-,-,-,-,-
S00107153,73,71,46,12,1,-,9,3,-,1,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-
